GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Holitrip,fr.univ.holitrip.util,TransportHelper,3,231,10,60,2,48,10,33,0,8
Holitrip,fr.univ.holitrip.model,Package,13,173,5,21,2,45,6,23,1,15
Holitrip,fr.univ.holitrip.service.impl,ApiGeocodingService,54,184,10,18,14,49,10,7,1,2
Holitrip,fr.univ.holitrip.service.impl,PackageBuilder,19,600,28,98,10,144,27,40,0,4
Holitrip,fr.univ.holitrip.service.impl,JsonTransportService,15,297,9,43,6,62,9,25,0,8
Holitrip,fr.univ.holitrip.service.impl,JsonTransportService.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Holitrip,fr.univ.holitrip.service.impl,JsonHotelService.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Holitrip,fr.univ.holitrip.service.impl,JsonHotelService,9,71,1,5,3,13,1,7,0,5
Holitrip,fr.univ.holitrip.service.impl,HaversineDistanceService,0,65,0,0,0,10,0,2,0,2
Holitrip,fr.univ.holitrip.service.impl,JsonActivityService.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Holitrip,fr.univ.holitrip.service.impl,JsonActivityService,14,137,6,8,5,27,6,9,0,8
Holitrip,fr.univ.holitrip.service.impl,JsonTransportService.JourneyPath,0,24,0,0,0,7,0,1,0,1
Holitrip,fr.univ.holitrip.exception,GeocodingException,0,9,0,0,0,4,0,2,0,2
